;Выжившие;КлассПассажира;Пол;Возраст;Сибсп;Пергамент;Билет;Стоимость;Купе;Погружены
0;0;3;male;2000.0;1;0;A/5 21171;7.25;B96 B98;S
1;1;1;female;1984.0;1;0;PC 17599;71.2833;C85;C
2;1;3;female;1996.0;0;0;STON/O2. 3101282;7.925;B96 B98;S
3;1;1;female;1987.0;1;0;113803;53.1;C123;S
4;0;3;male;1987.0;0;0;373450;8.05;B96 B98;S
5;0;3;male;1992.3008823529412;0;0;330877;8.4583;B96 B98;Q
6;0;1;male;1968.0;0;0;17463;51.8625;E46;S
7;0;3;male;2020.0;3;1;349909;21.075;B96 B98;S
8;1;3;female;1995.0;0;2;347742;11.1333;B96 B98;S
9;1;2;female;2008.0;1;0;237736;30.0708;B96 B98;C
10;1;3;female;2018.0;1;1;PP 9549;16.7;G6;S
11;1;1;female;1964.0;0;0;113783;26.55;C103;S
12;0;3;male;2002.0;0;0;A/5. 2151;8.05;B96 B98;S
13;0;3;male;1983.0;1;5;347082;31.275;B96 B98;S
14;0;3;female;2008.0;0;0;350406;7.8542;B96 B98;S
15;1;2;female;1967.0;0;0;248706;16.0;B96 B98;S
16;0;3;male;2020.0;4;1;382652;29.125;B96 B98;Q
17;1;2;male;1992.3008823529412;0;0;244373;13.0;B96 B98;S
18;0;3;female;1991.0;1;0;345763;18.0;B96 B98;S
19;1;3;female;1992.3008823529412;0;0;2649;7.225;B96 B98;C
20;0;2;male;1987.0;0;0;239865;26.0;B96 B98;S
21;1;2;male;1988.0;0;0;248698;13.0;D56;S
22;1;3;female;2007.0;0;0;330923;8.0292;B96 B98;Q
23;1;1;male;1994.0;0;0;113788;35.5;A6;S
24;0;3;female;2014.0;3;1;349909;21.075;B96 B98;S
25;1;3;female;1984.0;1;5;347077;31.3875;B96 B98;S
26;0;3;male;1992.3008823529412;0;0;2631;7.225;B96 B98;C
27;0;1;male;2003.0;3;2;19950;263.0;C23 C25 C27;S
28;1;3;female;1992.3008823529412;0;0;330959;7.8792;B96 B98;Q
29;0;3;male;1992.3008823529412;0;0;349216;7.8958;B96 B98;S
30;0;1;male;1982.0;0;0;PC 17601;27.7208;B96 B98;C
31;1;1;female;1992.3008823529412;1;0;PC 17569;146.5208;B78;C
32;1;3;female;1992.3008823529412;0;0;335677;7.75;B96 B98;Q
33;0;2;male;1956.0;0;0;C.A. 24579;10.5;B96 B98;S
34;0;1;male;1994.0;1;0;PC 17604;82.1708;B96 B98;C
35;0;1;male;1980.0;1;0;113789;52.0;B96 B98;S
36;1;3;male;1992.3008823529412;0;0;2677;7.2292;B96 B98;C
37;0;3;male;2001.0;0;0;A./5. 2152;8.05;B96 B98;S
38;0;3;female;2004.0;2;0;345764;18.0;B96 B98;S
39;1;3;female;2008.0;1;0;2651;11.2417;B96 B98;C
40;0;3;female;1982.0;1;0;7546;9.475;B96 B98;S
41;0;2;female;1995.0;1;0;11668;21.0;B96 B98;S
42;0;3;male;1992.3008823529412;0;0;349253;7.8958;B96 B98;C
43;1;2;female;2019.0;1;2;SC/Paris 2123;41.5792;B96 B98;C
44;1;3;female;2003.0;0;0;330958;7.8792;B96 B98;Q
45;0;3;male;1992.3008823529412;0;0;S.C./A.4. 23567;8.05;B96 B98;S
46;0;3;male;1992.3008823529412;1;0;370371;15.5;B96 B98;Q
47;1;3;female;1992.3008823529412;0;0;14311;7.75;B96 B98;Q
48;0;3;male;1992.3008823529412;2;0;2662;21.6792;B96 B98;C
49;0;3;female;2004.0;1;0;349237;17.8;B96 B98;S
50;0;3;male;2015.0;4;1;3101295;39.6875;B96 B98;S
51;0;3;male;2001.0;0;0;A/4. 39886;7.8;B96 B98;S
52;1;1;female;1973.0;1;0;PC 17572;76.7292;D33;C
53;1;2;female;1993.0;1;0;2926;26.0;B96 B98;S
54;0;1;male;1957.0;0;1;113509;61.9792;B30;C
55;1;1;male;1992.3008823529412;0;0;19947;35.5;C52;S
56;1;2;female;2001.0;0;0;C.A. 31026;10.5;B96 B98;S
57;0;3;male;1993.5;0;0;2697;7.2292;B96 B98;C
58;1;2;female;2017.0;1;2;C.A. 34651;27.75;B96 B98;S
59;0;3;male;2011.0;5;2;CA 2144;46.9;B96 B98;S
60;0;3;male;2000.0;0;0;2669;7.2292;B96 B98;C
61;1;1;female;1984.0;0;0;113572;80.0;B28;S
62;0;1;male;1977.0;1;0;36973;83.475;C83;S
63;0;3;male;2018.0;3;2;347088;27.9;B96 B98;S
64;0;1;male;1992.3008823529412;0;0;PC 17605;27.7208;B96 B98;C
65;1;3;male;1992.3008823529412;1;1;2661;15.2458;B96 B98;C
66;1;2;female;1993.0;0;0;C.A. 29395;10.5;F33;S
67;0;3;male;2003.0;0;0;S.P. 3464;8.1583;B96 B98;S
68;1;3;female;2005.0;4;2;3101281;7.925;B96 B98;S
69;0;3;male;1996.0;2;0;315151;8.6625;B96 B98;S
70;0;2;male;1990.0;0;0;C.A. 33111;10.5;B96 B98;S
71;0;3;female;2006.0;5;2;CA 2144;46.9;B96 B98;S
72;0;2;male;2001.0;0;0;S.O.C. 14879;73.5;B96 B98;S
73;0;3;male;1996.0;1;0;2680;14.4542;B96 B98;C
74;1;3;male;1990.0;0;0;1601;56.4958;B96 B98;S
75;0;3;male;1997.0;0;0;348123;7.65;F G73;S
76;0;3;male;1992.3008823529412;0;0;349208;7.8958;B96 B98;S
77;0;3;male;1992.3008823529412;0;0;374746;8.05;B96 B98;S
78;1;2;male;2021.17;0;2;248738;29.0;B96 B98;S
79;1;3;female;1992.0;0;0;364516;12.475;B96 B98;S
80;0;3;male;2000.0;0;0;345767;9.0;B96 B98;S
81;1;3;male;1993.0;0;0;345779;9.5;B96 B98;S
82;1;3;female;1992.3008823529412;0;0;330932;7.7875;B96 B98;Q
83;0;1;male;1994.0;0;0;113059;47.1;B96 B98;S
84;1;2;female;2005.0;0;0;SO/C 14885;10.5;B96 B98;S
85;1;3;female;1989.0;3;0;3101278;15.85;B96 B98;S
86;0;3;male;2006.0;1;3;W./C. 6608;34.375;B96 B98;S
87;0;3;male;1992.3008823529412;0;0;SOTON/OQ 392086;8.05;B96 B98;S
88;1;1;female;1999.0;3;2;19950;263.0;C23 C25 C27;S
89;0;3;male;1998.0;0;0;343275;8.05;B96 B98;S
90;0;3;male;1993.0;0;0;343276;8.05;B96 B98;S
91;0;3;male;2002.0;0;0;347466;7.8542;B96 B98;S
92;0;1;male;1976.0;1;0;W.E.P. 5734;61.175;E31;S
93;0;3;male;1996.0;1;2;C.A. 2315;20.575;B96 B98;S
94;0;3;male;1963.0;0;0;364500;7.25;B96 B98;S
95;0;3;male;1992.3008823529412;0;0;374910;8.05;B96 B98;S
96;0;1;male;1951.0;0;0;PC 17754;34.6542;A5;C
97;1;1;male;1999.0;0;1;PC 17759;63.3583;D10 D12;C
98;1;2;female;1988.0;0;1;231919;23.0;B96 B98;S
99;0;2;male;1988.0;1;0;244367;26.0;B96 B98;S
100;0;3;female;1994.0;0;0;349245;7.8958;B96 B98;S
101;0;3;male;1992.3008823529412;0;0;349215;7.8958;B96 B98;S
102;0;1;male;2001.0;0;1;35281;77.2875;D26;S
103;0;3;male;1989.0;0;0;7540;8.6542;B96 B98;S
104;0;3;male;1985.0;2;0;3101276;7.925;B96 B98;S
105;0;3;male;1994.0;0;0;349207;7.8958;B96 B98;S
106;1;3;female;2001.0;0;0;343120;7.65;B96 B98;S
107;1;3;male;1992.3008823529412;0;0;312991;7.775;B96 B98;S
108;0;3;male;1984.0;0;0;349249;7.8958;B96 B98;S
109;1;3;female;1992.3008823529412;1;0;371110;24.15;B96 B98;Q
110;0;1;male;1975.0;0;0;110465;52.0;C110;S
111;0;3;female;2007.5;1;0;2665;14.4542;B96 B98;C
112;0;3;male;2000.0;0;0;324669;8.05;B96 B98;S
113;0;3;female;2002.0;1;0;4136;9.825;B96 B98;S
114;0;3;female;2005.0;0;0;2627;14.4583;B96 B98;C
115;0;3;male;2001.0;0;0;STON/O 2. 3101294;7.925;B96 B98;S
116;0;3;male;1951.5;0;0;370369;7.75;B96 B98;Q
117;0;2;male;1993.0;1;0;11668;21.0;B96 B98;S
118;0;1;male;1998.0;0;1;PC 17558;247.5208;B58 B60;C
119;0;3;female;2020.0;4;2;347082;31.275;B96 B98;S
120;0;2;male;2001.0;2;0;S.O.C. 14879;73.5;B96 B98;S
121;0;3;male;1992.3008823529412;0;0;A4. 54510;8.05;B96 B98;S
122;0;2;male;1989.5;1;0;237736;30.0708;B96 B98;C
123;1;2;female;1989.5;0;0;27267;13.0;E101;S
124;0;1;male;1968.0;0;1;35281;77.2875;D26;S
125;1;3;male;2010.0;1;0;2651;11.2417;B96 B98;C
126;0;3;male;1992.3008823529412;0;0;370372;7.75;B96 B98;Q
127;1;3;male;1998.0;0;0;C 17369;7.1417;B96 B98;S
128;1;3;female;1992.3008823529412;1;1;2668;22.3583;F E69;C
129;0;3;male;1977.0;0;0;347061;6.975;B96 B98;S
130;0;3;male;1989.0;0;0;349241;7.8958;B96 B98;C
131;0;3;male;2002.0;0;0;SOTON/O.Q. 3101307;7.05;B96 B98;S
132;0;3;female;1975.0;1;0;A/5. 3337;14.5;B96 B98;S
133;1;2;female;1993.0;1;0;228414;26.0;B96 B98;S
134;0;2;male;1997.0;0;0;C.A. 29178;13.0;B96 B98;S
135;0;2;male;1999.0;0;0;SC/PARIS 2133;15.0458;B96 B98;C
136;1;1;female;2003.0;0;2;11752;26.2833;D47;S
137;0;1;male;1985.0;1;0;113803;53.1;C123;S
138;0;3;male;2006.0;0;0;7534;9.2167;B96 B98;S
139;0;1;male;1998.0;0;0;PC 17593;79.2;B86;C
140;0;3;female;1992.3008823529412;0;2;2678;15.2458;B96 B98;C
141;1;3;female;2000.0;0;0;347081;7.75;B96 B98;S
142;1;3;female;1998.0;1;0;STON/O2. 3101279;15.85;B96 B98;S
143;0;3;male;2003.0;0;0;365222;6.75;B96 B98;Q
144;0;2;male;2004.0;0;0;231945;11.5;B96 B98;S
145;0;2;male;2003.0;1;1;C.A. 33112;36.75;B96 B98;S
146;1;3;male;1995.0;0;0;350043;7.7958;B96 B98;S
147;0;3;female;2013.0;2;2;W./C. 6608;34.375;B96 B98;S
148;0;2;male;1985.5;0;2;230080;26.0;F2;S
149;0;2;male;1980.0;0;0;244310;13.0;B96 B98;S
150;0;2;male;1971.0;0;0;S.O.P. 1166;12.525;B96 B98;S
151;1;1;female;2000.0;1;0;113776;66.6;C2;S
152;0;3;male;1966.5;0;0;A.5. 11206;8.05;B96 B98;S
153;0;3;male;1981.5;0;2;A/5. 851;14.5;B96 B98;S
154;0;3;male;1992.3008823529412;0;0;Fa 265302;7.3125;B96 B98;S
155;0;1;male;1971.0;0;1;PC 17597;61.3792;B96 B98;C
156;1;3;female;2006.0;0;0;35851;7.7333;B96 B98;Q
157;0;3;male;1992.0;0;0;SOTON/OQ 392090;8.05;B96 B98;S
158;0;3;male;1992.3008823529412;0;0;315037;8.6625;B96 B98;S
159;0;3;male;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
160;0;3;male;1978.0;0;1;371362;16.1;B96 B98;S
161;1;2;female;1982.0;0;0;C.A. 33595;15.75;B96 B98;S
162;0;3;male;1996.0;0;0;347068;7.775;B96 B98;S
163;0;3;male;2005.0;0;0;315093;8.6625;B96 B98;S
164;0;3;male;2021.0;4;1;3101295;39.6875;B96 B98;S
165;1;3;male;2013.0;0;2;363291;20.525;B96 B98;S
166;1;1;female;1992.3008823529412;0;1;113505;55.0;E33;S
167;0;3;female;1977.0;1;4;347088;27.9;B96 B98;S
168;0;1;male;1992.3008823529412;0;0;PC 17318;25.925;B96 B98;S
169;0;3;male;1994.0;0;0;1601;56.4958;B96 B98;S
170;0;1;male;1961.0;0;0;111240;33.5;B19;S
171;0;3;male;2018.0;4;1;382652;29.125;B96 B98;Q
172;1;3;female;2021.0;1;1;347742;11.1333;B96 B98;S
173;0;3;male;2001.0;0;0;STON/O 2. 3101280;7.925;B96 B98;S
174;0;1;male;1966.0;0;0;17764;30.6958;A7;C
175;0;3;male;2004.0;1;1;350404;7.8542;B96 B98;S
176;0;3;male;1992.3008823529412;3;1;4133;25.4667;B96 B98;S
177;0;1;female;1972.0;0;0;PC 17595;28.7125;C49;C
178;0;2;male;1992.0;0;0;250653;13.0;B96 B98;S
179;0;3;male;1986.0;0;0;LINE;0.0;B96 B98;S
180;0;3;female;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
181;0;2;male;1992.3008823529412;0;0;SC/PARIS 2131;15.05;B96 B98;C
182;0;3;male;2013.0;4;2;347077;31.3875;B96 B98;S
183;1;2;male;2021.0;2;1;230136;39.0;F4;S
184;1;3;female;2018.0;0;2;315153;22.025;B96 B98;S
185;0;1;male;1992.3008823529412;0;0;113767;50.0;A32;S
186;1;3;female;1992.3008823529412;1;0;370365;15.5;B96 B98;Q
187;1;1;male;1977.0;0;0;111428;26.55;B96 B98;S
188;0;3;male;1982.0;1;1;364849;15.5;B96 B98;Q
189;0;3;male;1986.0;0;0;349247;7.8958;B96 B98;S
190;1;2;female;1990.0;0;0;234604;13.0;B96 B98;S
191;0;2;male;2003.0;0;0;28424;13.0;B96 B98;S
192;1;3;female;2003.0;1;0;350046;7.8542;B96 B98;S
193;1;2;male;2019.0;1;1;230080;26.0;F2;S
194;1;1;female;1978.0;0;0;PC 17610;27.7208;B4;C
195;1;1;female;1964.0;0;0;PC 17569;146.5208;B80;C
196;0;3;male;1992.3008823529412;0;0;368703;7.75;B96 B98;Q
197;0;3;male;1980.0;0;1;4579;8.4042;B96 B98;S
198;1;3;female;1992.3008823529412;0;0;370370;7.75;B96 B98;Q
199;0;2;female;1998.0;0;0;248747;13.0;B96 B98;S
200;0;3;male;1994.0;0;0;345770;9.5;B96 B98;S
201;0;3;male;1992.3008823529412;8;2;CA. 2343;69.55;B96 B98;S
202;0;3;male;1988.0;0;0;3101264;6.4958;B96 B98;S
203;0;3;male;1976.5;0;0;2628;7.225;B96 B98;C
204;1;3;male;2004.0;0;0;A/5 3540;8.05;B96 B98;S
205;0;3;female;2020.0;0;1;347054;10.4625;G6;S
206;0;3;male;1990.0;1;0;3101278;15.85;B96 B98;S
207;1;3;male;1996.0;0;0;2699;18.7875;B96 B98;C
208;1;3;female;2006.0;0;0;367231;7.75;B96 B98;Q
209;1;1;male;1982.0;0;0;112277;31.0;A31;C
210;0;3;male;1998.0;0;0;SOTON/O.Q. 3101311;7.05;B96 B98;S
211;1;2;female;1987.0;0;0;F.C.C. 13528;21.0;B96 B98;S
212;0;3;male;2000.0;0;0;A/5 21174;7.25;B96 B98;S
213;0;2;male;1992.0;0;0;250646;13.0;B96 B98;S
214;0;3;male;1992.3008823529412;1;0;367229;7.75;B96 B98;Q
215;1;1;female;1991.0;1;0;35273;113.275;D36;C
216;1;3;female;1995.0;0;0;STON/O2. 3101283;7.925;B96 B98;S
217;0;2;male;1980.0;1;0;243847;27.0;B96 B98;S
218;1;1;female;1990.0;0;0;11813;76.2917;D15;C
219;0;2;male;1992.0;0;0;W/C 14208;10.5;B96 B98;S
220;1;3;male;2006.0;0;0;SOTON/OQ 392089;8.05;B96 B98;S
221;0;2;male;1995.0;0;0;220367;13.0;B96 B98;S
222;0;3;male;1971.0;0;0;21440;8.05;B96 B98;S
223;0;3;male;1992.3008823529412;0;0;349234;7.8958;B96 B98;S
224;1;1;male;1984.0;1;0;19943;90.0;C93;S
225;0;3;male;2000.0;0;0;PP 4348;9.35;B96 B98;S
226;1;2;male;2003.0;0;0;SW/PP 751;10.5;B96 B98;S
227;0;3;male;2001.5;0;0;A/5 21173;7.25;B96 B98;S
228;0;2;male;2004.0;0;0;236171;13.0;B96 B98;S
229;0;3;female;1992.3008823529412;3;1;4133;25.4667;B96 B98;S
230;1;1;female;1987.0;1;0;36973;83.475;C83;S
231;0;3;male;1993.0;0;0;347067;7.775;B96 B98;S
232;0;2;male;1963.0;0;0;237442;13.5;B96 B98;S
233;1;3;female;2017.0;4;2;347077;31.3875;B96 B98;S
234;0;2;male;1998.0;0;0;C.A. 29566;10.5;B96 B98;S
235;0;3;female;1992.3008823529412;0;0;W./C. 6609;7.55;B96 B98;S
236;0;2;male;1978.0;1;0;26707;26.0;B96 B98;S
237;1;2;female;2014.0;0;2;C.A. 31921;26.25;B96 B98;S
238;0;2;male;2003.0;0;0;28665;10.5;B96 B98;S
239;0;2;male;1989.0;0;0;SCO/W 1585;12.275;B96 B98;S
240;0;3;female;1992.3008823529412;1;0;2665;14.4542;B96 B98;C
241;1;3;female;1992.3008823529412;1;0;367230;15.5;B96 B98;Q
242;0;2;male;1993.0;0;0;W./C. 14263;10.5;B96 B98;S
243;0;3;male;2000.0;0;0;STON/O 2. 3101275;7.125;B96 B98;S
244;0;3;male;1992.0;0;0;2694;7.225;B96 B98;C
245;0;1;male;1978.0;2;0;19928;90.0;C78;Q
246;0;3;female;1997.0;0;0;347071;7.775;B96 B98;S
247;1;2;female;1998.0;0;2;250649;14.5;B96 B98;S
248;1;1;male;1985.0;1;1;11751;52.5542;D35;S
249;0;2;male;1968.0;1;0;244252;26.0;B96 B98;S
250;0;3;male;1992.3008823529412;0;0;362316;7.25;B96 B98;S
251;0;3;female;1993.0;1;1;347054;10.4625;G6;S
252;0;1;male;1960.0;0;0;113514;26.55;C87;S
253;0;3;male;1992.0;1;0;A/5. 3336;16.1;B96 B98;S
254;0;3;female;1981.0;0;2;370129;20.2125;B96 B98;S
255;1;3;female;1993.0;0;2;2650;15.2458;B96 B98;C
256;1;1;female;1992.3008823529412;0;0;PC 17585;79.2;B96 B98;C
257;1;1;female;1992.0;0;0;110152;86.5;B77;S
258;1;1;female;1987.0;0;0;PC 17755;512.3292;B96 B98;C
259;1;2;female;1972.0;0;1;230433;26.0;B96 B98;S
260;0;3;male;1992.3008823529412;0;0;384461;7.75;B96 B98;Q
261;1;3;male;2019.0;4;2;347077;31.3875;B96 B98;S
262;0;1;male;1970.0;1;1;110413;79.65;E67;S
263;0;1;male;1982.0;0;0;112059;0.0;B94;S
264;0;3;female;1992.3008823529412;0;0;382649;7.75;B96 B98;Q
265;0;2;male;1986.0;0;0;C.A. 17248;10.5;B96 B98;S
266;0;3;male;2006.0;4;1;3101295;39.6875;B96 B98;S
267;1;3;male;1997.0;1;0;347083;7.775;B96 B98;S
268;1;1;female;1964.0;0;1;PC 17582;153.4625;C125;S
269;1;1;female;1987.0;0;0;PC 17760;135.6333;C99;S
270;0;1;male;1992.3008823529412;0;0;113798;31.0;B96 B98;S
271;1;3;male;1997.0;0;0;LINE;0.0;B96 B98;S
272;1;2;female;1981.0;0;1;250644;19.5;B96 B98;S
273;0;1;male;1985.0;0;1;PC 17596;29.7;C118;C
274;1;3;female;1992.3008823529412;0;0;370375;7.75;B96 B98;Q
275;1;1;female;1959.0;1;0;13502;77.9583;D7;S
276;0;3;female;1977.0;0;0;347073;7.75;B96 B98;S
277;0;2;male;1992.3008823529412;0;0;239853;0.0;B96 B98;S
278;0;3;male;2015.0;4;1;382652;29.125;B96 B98;Q
279;1;3;female;1987.0;1;1;C.A. 2673;20.25;B96 B98;S
280;0;3;male;1957.0;0;0;336439;7.75;B96 B98;Q
281;0;3;male;1994.0;0;0;347464;7.8542;B96 B98;S
282;0;3;male;2006.0;0;0;345778;9.5;B96 B98;S
283;1;3;male;2003.0;0;0;A/5. 10482;8.05;B96 B98;S
284;0;1;male;1992.3008823529412;0;0;113056;26.0;A19;S
285;0;3;male;1989.0;0;0;349239;8.6625;B96 B98;C
286;1;3;male;1992.0;0;0;345774;9.5;B96 B98;S
287;0;3;male;2000.0;0;0;349206;7.8958;B96 B98;S
288;1;2;male;1980.0;0;0;237798;13.0;B96 B98;S
289;1;3;female;2000.0;0;0;370373;7.75;B96 B98;Q
290;1;1;female;1996.0;0;0;19877;78.85;B96 B98;S
291;1;1;female;2003.0;1;0;11967;91.0792;B49;C
292;0;2;male;1986.0;0;0;SC/Paris 2163;12.875;D;C
293;0;3;female;1998.0;0;0;349236;8.85;B96 B98;S
294;0;3;male;1998.0;0;0;349233;7.8958;B96 B98;S
295;0;1;male;1992.3008823529412;0;0;PC 17612;27.7208;B96 B98;C
